Gene.ID	Gene.Name	1.AD_A	2.AD_A	3.AD_A	4.AD_A	1.AD_B	2.AD_B	3.AD_B	4.AD_B	1.AD_C	2.AD_C	3.AD_C	4.AD_C
ENSG00000001084	GCLC	178510	9039	187970	285300	129980	5569.5	145360	214500	88589	4263.4	94907	141360
ENSG00000002549	LAP3	618540	37730	790130	1222600	287410	17251	369340	578270	240340	14645	316150	495740
ENSG00000002834	LASP1	155330	9226.2	191130	202710	59949	2882.2	74013	86755	26722	1183.5	31819	41570
ENSG00000004142	POLDIP2	7455.5	214.77	9254.1	10019	46733	2304.1	52367	65563	31566	1976.6	34692	43261
ENSG00000004660	CAMKK1	352360	32618	487490	445460	153100	13733	211300	186960	82380	8267.6	109690	104400
ENSG00000004766	VPS50	211280	10488	223810	296680	47210	2275.1	53471	73363	26549	1024.8	29103	38289
ENSG00000004779	NDUFAB1	82754	4887.6	80153	157540	45594	3235.5	48573	82513	18785	916.55	18331	35182
ENSG00000004864	SLC25A13	187550	8615	207480	252440	116730	6477.9	144940	189100	27231	1153.3	32134	41238
ENSG00000004939	SLC4A1	102610	3990.1	75294	77051	43101	2653.9	35931	37240	20166	1296.6	20178	18712
ENSG00000005007	UPF1	297340	13839	339300	393320	42588	2293.8	53476	59910	36132	2192.7	48373	56336
ENSG00000005194	CIAPIN1	94186	3619.9	97391	116670	0	0	0	0	43940	2431.6	48786	60522
ENSG00000005810	MYCBP2	99813	4570.6	107430	136840	14895	825.25	17703	19811	13485	528.59	16170	18028
ENSG00000005882	PDK2	183130	8276.9	212100	226650	62510	3084.5	77547	82738	47173	2592.9	57494	58780
ENSG00000005893	LAMP2	36613	1228.8	37073	47956	10639	292.6	10480	13055	6804.5	0	7415.5	9823
ENSG00000006125	AP2B1	170610	9022.9	167270	238400	107800	4958.4	103780	155030	61986	2661.2	59157	82810
ENSG00000006282	SPATA20	36897	2401.1	52904	49419	98446	5209.1	124700	109280	21067	999.97	27533	24076
ENSG00000006625	GGCT	26330	1179.4	22650	42657	8823.9	359	6839.5	13373	6910	333.91	5025	10491
ENSG00000006740	ARHGAP44	169380	8500.8	188530	214310	114190	6240.2	130040	138800	26314	1250.3	29753	35673
ENSG00000007168	PAFAH1B1	0	0	0	0	96278	5033.2	103740	131940	63756	3437.8	61621	90919
ENSG00000007237	GAS7	174830	10387	209800	189670	134850	6671	155460	142950	80017	4003.6	95154	83557
ENSG00000007402	CACNA2D2	53037	2406.6	59740	68191	105090	5132.3	112600	136630	20828	1003.5	24728	31247
ENSG00000007923	DNAJC11	84424	4343.5	101540	111310	23447	1059.3	30486	32403	11940	626.25	14799	17366
ENSG00000008056	SYN1	509600	26242	464610	767950	249740	11294	216800	375680	137910	5627.4	111060	222850
ENSG00000008988	RPS20	127830	7371.3	167340	210790	53083	2986.6	59493	86606	32404	1515	33482	49862
ENSG00000009307	CSDE1	333870	19370	378740	449290	270210	13647	301130	339390	109760	5432.5	122200	134120
ENSG00000009844	VTA1	220600	11035	232310	355420	139940	6537.2	147390	215490	86120	4089.6	93696	128480
ENSG00000010017	RANBP9	134700	7201	130460	196500	71550	3773.9	65462	103170	52239	2399	46320	78077
ENSG00000010256	UQCRC1	117390	6652.1	140190	136760	113580	5543.8	135360	136340	67003	3233	86628	79258
ENSG00000010278	CD9	221350	11068	220830	402690	199640	9790.4	194750	354930	103400	4663.1	92677	168950
ENSG00000011021	CLCN6	82883	3857.1	99385	94078	25015	1132.6	32544	32225	14899	506.65	19316	19304
ENSG00000011295	TTC19	0	0	0	0	34604	1764.6	40736	33177	18679	908.79	22937	20543
ENSG00000011347	SYT7	105620	5511.3	191640	235800	62988	3291.6	81836	95101	39436	2410.9	76521	92430
ENSG00000011376	LARS2	220030	11098	241430	271200	162340	8292.1	173880	185340	95098	4215	98225	111550
ENSG00000011426	ANLN	173800	9240	178060	534800	122290	5997.2	128160	350150	103220	5058.6	99689	312560
ENSG00000011485	PPP5C	48256	1938.5	50595	75844	43054	1887	42838	67041	26889	1056.4	27748	40853
ENSG00000011677	GABRA3	14207	844.79	15353	19345	0	0	0	0	4749.5	135.65	5266	5867.4
ENSG00000012822	CALCOCO1	230030	12750	290370	249310	2064	0	2492.4	2497.8	18226	720.89	24593	21082
ENSG00000013016	EHD3	603520	30677	703540	878150	289290	13175	336030	390830	237540	12686	287170	354970
ENSG00000013297	CLDN11	0	0	0	0	7248.7	361.67	6182	13453	20410	721.77	20707	29337
ENSG00000013364	MVP	585030	28258	540250	776430	250760	10879	233750	364690	194780	9027.3	198570	283650
ENSG00000013583	HEBP1	2708.9	0	3148.9	4149	17910	688.34	23168	30243	21880	693.89	27403	33946
ENSG00000014123	UFL1	62342	2976.8	69073	82507	61157	3530.9	66658	112890	8921.5	0	11588	17642
ENSG00000014216	CAPN1	340510	17400	388420	500570	271760	13147	317360	415560	215800	11668	247920	335620
ENSG00000014641	MDH1	580950	26683	577170	858130	340830	16086	308530	519580	201420	9396.6	173890	332500
ENSG00000014824	SLC30A9	51906	5336.1	68835	65632	42832	2156.5	56916	52519	23178	876.36	32248	30122
ENSG00000014919	COX15	163950	7992	186440	251870	67817	3290.3	79376	104240	32646	1947.9	36762	52407
ENSG00000015475	BID	14795	660.82	15633	21751	11593	472.01	11351	17507	13122	573.59	12334	18132
ENSG00000017797	RALBP1	137530	6598.5	153350	208080	13724	303.11	16678	21003	0	0	0	0
ENSG00000018189	RUFY3	441720	21270	490350	667570	199140	8468.9	219260	306320	165310	8405.3	181500	247920
ENSG00000018236	CNTN1	850470	45078	1258300	1230100	410210	20961	507230	569620	238880	10815	276800	323710
ENSG00000018625	ATP1A2	820110	39138	688440	1153700	390960	17785	326990	635850	296170	13170	209540	441580
ENSG00000019144	PHLDB1	113930	5711.8	130460	189580	0	0	0	0	18335	282.36	16148	28916
ENSG00000020129	NCDN	668910	37309	723030	986390	389710	22373	358250	483190	195090	11201	191690	246080
ENSG00000021300	PLEKHB1	54515	2629.5	42065	76268	41719	2334.6	34030	49831	0	0	0	0
ENSG00000021574	SPAST	0	0	0	0	39764	2766.4	49058	51165	18063	910.22	22953	21699
ENSG00000022355	GABRA1	261890	12017	272120	276290	112160	5515.2	125660	117260	71887	3503.6	78838	75436
ENSG00000023287	RB1CC1	52804	2012.7	57862	68984	24119	1380.3	28030	27269	0	0	0	0
ENSG00000023318	ERP44	127900	6105	125140	168260	172260	8845	183050	238880	123400	6279.3	127170	166700
ENSG00000023697	DERA	44049	2580.5	62963	81151	23854	937.91	34885	46076	36049	2048.1	51929	59468
ENSG00000023734	STRAP	68061	3368.2	67622	121960	0	0	0	0	10673	428.24	13504	17849
ENSG00000024422	EHD2	300570	15600	320820	390660	121810	6690.4	126410	155830	50674	2419.9	58808	71778
ENSG00000025772	TOMM34	31849	1189.6	31089	41207	72946	4236.5	82297	95311	0	0	0	0
ENSG00000026508	CD44	99144	5001.5	137170	229730	41142	453.88	60350	133220	20554	309.27	26800	57987
ENSG00000028528	SNX1	533800	27999	606530	740050	247400	11146	284460	375600	127140	5950.1	151350	204400
ENSG00000029534	ANK1	32448	1573.3	26183	37651	0	0	0	0	8772.2	414.16	6631.6	9513.2
ENSG00000029725	RABEP1	224440	11560	342190	381500	135100	7094.1	198830	182320	87622	4609.8	126670	117630
ENSG00000031698	SARS1	210690	10594	211290	289480	108930	5252.8	112500	149030	58526	2695.9	57890	84542
