Gene ID	Gene Name	g4_g3.p-value	g4_g3.log2foldchange	g2_g1.p-value	g2_g1.log2foldchange
ENSG00000001084	GCLC	0.266830617	0.2	0.072945755	-0.3
ENSG00000002549	LAP3	0.370448842	-0.1	0.061291447	-0.2
ENSG00000002834	LASP1	0.731937373	0.1	0.049071456	0.5
ENSG00000004142	POLDIP2	0.790424154	0.2	0.688925792	0.1
ENSG00000004660	CAMKK1	0.06405641	-0.7	0.097913651	0.3
ENSG00000004766	VPS50	0.415211998	0.1	0.858832296	0
ENSG00000004779	NDUFAB1	0.461405697	-0.1	0.003149633	-0.5
ENSG00000004864	SLC25A13	0.842928264	0	0.266198881	0.1
ENSG00000004939	SLC4A1	0.251221282	0.3	0.049469016	0.4
ENSG00000005007	UPF1	0.512433855	-0.1	0.289861132	0.1
ENSG00000005194	CIAPIN1	0.79582544	0.1	0.659205018	0.1
ENSG00000005810	MYCBP2	0.717639359	0.1	0.236295354	0.2
ENSG00000005882	PDK2	0.992930166	0	0.016180353	0.3
ENSG00000005893	LAMP2	0.33529669	0.1	0.248595858	0.1
ENSG00000006125	AP2B1	0.516257302	0.1	0.748839697	0
ENSG00000006282	SPATA20	0.64250189	0.1	0.002931447	0.6
ENSG00000006625	GGCT	0.291256964	0.1	0.000634377	-0.8
ENSG00000006740	ARHGAP44	0.7721375	0	0.028849521	0.3
ENSG00000007168	PAFAH1B1	0.325506095	-0.1	0.084535532	-0.1
ENSG00000007237	AC005747.1	0.410811478	-0.1	0.001521954	0.5
ENSG00000007402	CACNA2D2	0.370553935	0.2	0.176785377	0.2
ENSG00000007923	DNAJC11	0.163020443	0.1	0.002118872	0.2
ENSG00000008056	SYN1	0.816527199	0	0.5862535	-0.1
ENSG00000008988	RPS20	0.560840724	-0.1	0.372314562	-0.1
ENSG00000009307	CSDE1	0.430651437	-0.1	0.018321328	0.2
ENSG00000009844	VTA1	0.531656356	0.1	0.326623311	0.1
ENSG00000010017	RANBP9	0.790424154	0	0.011147087	-0.3
ENSG00000010256	UQCRC1	0.774419702	0.1	0.026645767	0.4
ENSG00000010278	CD9	0.703135704	-0.1	0.003075729	-0.6
ENSG00000011021	CLCN6	0.316052101	0.3	0.032793379	0.4
ENSG00000011295	TTC19	0.933369585	0	0.017094801	0.6
ENSG00000011347	SYT7	0.21565209	-0.2	0.078056176	0.2
ENSG00000011376	LARS2	0.696620182	0.1	0.025954688	0.3
ENSG00000011426	ANLN	0.449764887	-0.1	9.52E-05	-1.2
ENSG00000011485	PPP5C	0.050719281	0.3	0.018899572	-0.2
ENSG00000011677	GABRA3	0.745159246	0.3	0.769007786	0.2
ENSG00000012822	CALCOCO1	0.699402353	0.2	0.158271636	0.6
ENSG00000013016	EHD3	0.676572578	0.1	0.24038453	0.2
ENSG00000013297	CLDN11	0.558195862	0.5	0.344518012	-0.5
ENSG00000013364	MVP	0.24203493	0.1	0.005481735	-0.2
ENSG00000013583	HEBP1	0.560840724	0.2	0.623338925	0.1
ENSG00000014123	UFL1	0.533145322	0.2	0.803824861	0.1
ENSG00000014216	CAPN1	0.348689529	-0.1	0.769007786	0
ENSG00000014641	MDH1	0.3221219	0.1	0.880954915	0
ENSG00000014824	SLC30A9	0.925573274	0	0.097992368	0.5
ENSG00000014919	COX15	0.664548587	-0.1	0.669097052	0
ENSG00000015475	BID	0.114069882	0.2	0.067275347	-0.2
ENSG00000017797	RALBP1	0.514804834	0.6	0.968207361	0
ENSG00000018189	RUFY3	0.082043069	0.2	0.120001694	0.1
ENSG00000018236	CNTN1	0.590565969	0	0.009012349	0.2
ENSG00000018625	ATP1A2	0.819456824	0	0.26343416	-0.1
ENSG00000019144	PHLDB1	0.523555379	0.8	0.712337662	-0.3
ENSG00000020129	NCDN	0.501228862	-0.2	0.319500593	0.2
ENSG00000021300	PLEKHB1	0.850845622	-0.1	0.202605574	-0.3
ENSG00000021574	SPAST	0.516257302	-0.3	0.284896977	0.4
ENSG00000022355	GABRA1	0.968207994	0	0.006104129	0.4
ENSG00000023287	RB1CC1	0.725741703	0.2	0.462241059	0.3
ENSG00000023318	ERP44	0.720858476	0	0.406205847	0
ENSG00000023697	DERA	0.288415821	-0.2	0.527899627	0.1
ENSG00000023734	STRAP	0.753133088	0.1	0.424521064	-0.3
ENSG00000024422	EHD2	0.703135704	-0.1	0.975384201	0
ENSG00000025772	TOMM34	0.417510206	0.3	0.671910695	-0.1
ENSG00000026508	CD44	0.633624406	0.1	0.030270841	-0.5
ENSG00000028528	SNX1	0.931209668	0	0.08233581	-0.1
ENSG00000029534	ANK1	0.582504252	0.1	0.12730795	-0.1
ENSG00000029725	RABEP1	0.611346245	-0.1	0.037279181	0.3
ENSG00000031698	SARS1	0.506162547	0	0.041981276	-0.1
